Reativo Simples,Baseado em Modelo
-349,-81
-384,-87
-350,-76
-350,-54
-362,-77
-350,-79
-357,-82
-401,-83
-365,-79
-399,-66
-296,-100
-359,-72
-353,-64
-292,-99
-407,-93
-380,-61
-408,-71
-249,-62
-325,-79
-349,-73
-367,-50
-351,-41
-375,-63
-367,-70
-411,-93
-245,-71
-351,-31
-363,-56
-403,-79
-380,-75
-353,-80
-358,-72
-378,-57
-394,-52
-349,-79
-363,-51
-349,-73
-366,-59
-297,-78
-353,-51
-407,-72
-380,-55
-331,-59
-328,-62
-368,-57
-390,-52
-342,-84
-385,-70
-297,-67
-354,-44
-371,-60
-296,-77
-390,-92
-382,-70
-379,-44
-250,-83
-352,-70
-352,-76
-366,-94
-357,-56
-347,-66
-355,-78
-248,-69
-351,-96
-348,-47
-350,-49
-399,-65
-354,-71
-381,-96
-369,-93
-400,-46
-243,-61
-377,-69
-407,-64
-293,-65
-368,-86
-328,-53
-392,-88
-372,-82
-166,-56
-351,-82
-403,-69
-295,-59
-383,-81
-374,-51
-167,-83
-302,-48
-347,-67
-385,-65
-401,-71
-331,-80
-356,-96
-248,-44
-350,-33
-166,-97
-358,-56
-350,-64
-350,-82
-354,-86
-330,-53
